epoch,lr,lambda_saliency,train_detection_loss,train_saliency_loss,train_total_loss,train_energy_in_box,train_pointing_game,train_saliency_iou,val_precision,val_recall,val_map50,val_map50_95,val_fitness,epoch_seconds
15,0.007689999999999999,0.0028,5.054180000000001,0.9886905599856324,5.05694833356796,0.011309440105744615,0.04459205312765887,0.013812025001751643,0.57324,0.5642,0.57222,0.27818,0.27818,114.1539626121521
16,0.007525,0.003,5.02111,0.9883266367563387,5.024074979910269,0.01167336283582046,0.06342110676406867,0.017214934281723993,0.6049,0.55668,0.56963,0.27894,0.27894,113.72993683815002
17,0.007360000000000001,0.0032,4.94997,0.988203185096284,4.953132250192309,0.011796815941386965,0.04654578825604097,0.014267227079661484,0.64935,0.5699,0.60004,0.30217,0.30217,113.60894179344177
18,0.007195,0.0034,4.89266,0.9881318396580986,4.896019648254838,0.011868160605191061,0.050899956766035856,0.01432737794925692,0.636,0.53676,0.57078,0.28391,0.28391,113.31620335578918
19,0.00703,0.0036,4.86552,0.9887236885379529,4.869079405278737,0.011276311696942756,0.03793728887661698,0.012035712768053203,0.68546,0.58079,0.63225,0.31141,0.31141,114.4367778301239
20,0.0068650000000000004,0.0038,4.83502,0.9880339139845313,4.838774528873142,0.011966084178636252,0.03814196409898301,0.014303091273306479,0.66915,0.57604,0.63502,0.32318,0.32318,113.0598394870758
21,0.0067,0.004,4.7769200000000005,0.9880725077937818,4.7808722900311755,0.011927493748785784,0.04437267125270141,0.01503389570634903,0.70183,0.6087,0.67381,0.34268,0.34268,113.06397914886475
22,0.006535,0.0042,4.7251900000000004,0.9877436264126899,4.7293385232309335,0.012256372959545077,0.05661120348097085,0.017095446424505067,0.69125,0.60163,0.66208,0.32787,0.32787,114.16005063056946
23,0.006370000000000001,0.004399999999999999,4.66391,0.9875240911401296,4.668255106001016,0.012475908865032928,0.04593172292093418,0.01577487299136173,0.6992,0.57555,0.6338,0.32112,0.32112,113.31760621070862
24,0.0062050000000000004,0.004600000000000001,4.62476,0.987661665400486,4.629303243660843,0.012338335850914144,0.04955766396152565,0.01650307268449446,0.65528,0.63754,0.66806,0.34747,0.34747,113.43248677253723
25,0.00604,0.0048000000000000004,4.60193,0.9880630442678532,4.606672702612486,0.011936957115708063,0.049863459368787076,0.01503120626564532,0.70137,0.62295,0.66788,0.33887,0.33887,113.53837871551514
26,0.005874999999999999,0.005,4.54777,0.9878821824976716,4.552709410912488,0.012117817880226476,0.05376755186361638,0.016468299198647892,0.68132,0.63607,0.68697,0.35799,0.35799,114.23576855659485
27,0.00571,0.005200000000000001,4.543480000000001,0.9880141894727483,4.548617673785259,0.011985809160210605,0.06111372638369359,0.014523698194076342,0.73402,0.60791,0.68266,0.35385,0.35385,113.12996768951416
28,0.0055450000000000004,0.0054,4.50428,0.9874145733543616,4.509612038696114,0.012585425677145531,0.05204869112811163,0.01610478375854586,0.70021,0.63392,0.6749,0.34802,0.34802,113.4875385761261
29,0.00538,0.0056,4.42425,0.9873682292231963,4.42977926208365,0.012631771909465348,0.05854300737017087,0.016636636587243916,0.70708,0.66748,0.70475,0.36367,0.36367,113.3041672706604
30,0.005215,0.0058000000000000005,4.40139,0.9871937459429722,4.407115723726469,0.012806257589239041,0.05331041077547797,0.015704123280578998,0.70611,0.66189,0.70539,0.35724,0.35724,113.137371301651
31,0.00505,0.006,4.39015,0.9877191803143452,4.396076315081887,0.01228082069441544,0.051002457789370625,0.014847459082601142,0.72494,0.66096,0.71773,0.36365,0.36365,113.41658639907837
